text,label
hhhhhhhhhhhhhhhhhhh falcao ya rie77iii d,0
bdina taw,0
raw7 nij,0
raj3 monta,0
qui est celui a,0
mednin y,0
hamza cherif,0
rawah y hkouma rawah,0
salamo aleykom,0
lichkon bich ybi3ha,0
salmoulna 3al 7leybi hhhhh y 9aherhom,0
louled abonné li chaîne mte3i,0
trah aman fama suite khtekh fel lereh kalou eli c un reve ou mezel fama trp de mystere aman on veut une suite,0
yemchich 3am jey ywali f 9anet 9 mak eli t7otou b samedi y5rej men 9anetek,0
rais tunis alhakiki,0
raj3ilna djabouuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,0
saloum chkoun tayech o5t sehli ml blkoun,1
hhhh hhhh,0
louled bellehi l port ta3i maya9rach l 3arbi tnajmou t9oulouli chnowa illi maktoub et merci,1
hamza chtabri,0
jib lcash,0
lien fb mta3 tounsya loula,0
hhhhhhhhhhhhhhhhhhhh esache ité3i bil bluetooth sa7bi yimchi wa7dou,0
isma3 nasi7a min 3andi barra ichri mla3biya min tawa ibda mil gardien winti tala3 9bal ma yifs3ou bihom ou kol yid ta5ou o5tha,1
hhhhh bo5amsa,0
spotify svp,0
rardhetna el jam3iya,0
chnowa ismou,1
si slim ou bie les admins de cette page brabi waslou lil bureau mta3o inou joumhour club ihib declaration mta3o fasroulna est ce que mazal mwasil m3ana wala,0
slim rehi dakhil fil kaaaka ili 7kéé 3liha el marzou9i,0
raj3elna alex athéka éli n7ébouh,0
hassen akrimi blogueur,0
chkoun dkhal mechi fi belou gga kifi,1
ijebed le7tiyati ken yelzem,0
kol 3am w ca 5obzetna,0
si slim bech tkamel wl leee,1
salah el dine saiid ethyopi,0
sålhí mêd âmìñ fi 7abess,0
tsalafni zouz melyarat ahawa rasmi,0
raj3oulna ben ali yar7em weeldekom,0
slim ria7i 8 festival lyoum d,0
wa9teche v si slim itji megrine hay chaker,1
wa9t belhi,0
jblna avan sontr ymarki lahdaf mouch ymarki nhara,0
2020 men berlin chkoun mezel,0
hhhhhhh lmarzougi mazel 7ay,0
za3ma kifeh 3em jei hhhhhhh,1
slm erria7i far5e achkoun,0
il organiser un meeting a gafsa gbeli gabes tataouine mednine,0
sam7ouni l esperance terba7 fina b awladna l etoile b awladna on est en professionnalisme khalina nfarkou erromana t7ebou kais yaakoubi b wissem w alex w aouadhi meliti iffa swissi izichel ma tracha7nach 9odam el hilal fawzi benzarti babourou safar kouki khadam ama bel7a9 ma dhaher chay ana pour ben yahia awel chay jamais ykhali ma3loul yerb7ou lianhem yakrhou b3adhhem serieux et insan 7a9ani khbith nja7 m3a 9awafel gafsa elli yetrenou nhar w yerta7ou nharin mgarfin a3touni equipe tfarej ki gafsa,0
hani bech nbadel tawa soussou siwarti,1
slouma kader chneya hkaytou,0
ras jabel ca,0
raja man slim riahi tarfi3e fi kimat al3abdi oi inha safka lisalahna tarajit torid al3abdi mathabina ykon clubiste,0
kol alomar,0
h h h za3ma,0
abonnez vous sur ma chaîne youtube chaker ben abdallah s il vous plaît,0
inchalla si slim ezour elmetleoui,0
houda raach,0
haw jebou hhhhh ramrouma rim,0
slm brabi si slim a3tina le programme nte3ek 3aychek,0
salem tnajemch tahkilna kifeh 9eblouk f scholarship hedhi or huma talbin eng lang teachers w andhom exp en plus,1
radhouane ayari,0
hatha nmr mta3i 216 23275351,0
hhhhhhhh elmarzou9i bech ya3mel haka,1
rahi emena bin idik,0
sahhah contrat maa attaquant jdid,0
3lech bekri barcha aman,1
hassan shehata,0
télé mte3i maya9rach bel 3arbi ye5a chfama,0
raj3lna mountsar,0
slim riahi bech yaatique tekel elghobez,1
samba sow mahouch bech yji,1
pourquoi ne pas avoir inviter exemple sofiène ben farhat ou abdelaziz mzougi,0
jabo baratli suisi marx bachkon bach yafarhna sloma lazam yfarhna ipevot bahi,0
raja3a montasser,0
rejoindre les clubiiistes,0
hhhhhhhhhhhhhhhhhhhhhhh est,0
je2ta fi zemen el jedbi je2ta fi ezet eta3abi,0
klem salim,0
selm nheb na3ml inscri fi hizb,1
chofii weldtt,0
kolna dhid lirhab fi ay makan fil3alim w nitra7im 3al abrya almoslimin fi franasa w nit3atif m3a mwata ilfransiyin fi tilka il7adtha lakin kitsir 7adtha fi fransa willa ilgharb nsar3ouitadhamon watandid mithla slim ilgafafef wa atfal w nisaa wa choyou5 almoslimin to9atil kolla yawm fichata as9a3 il ardha manhabitch bayen 3al a9al nadid fih w nitdhamin ma3a i5wana fi filastin w sourya wil3ira9 w moslimi pourma hadha idol 3al innifa9 wilkadhib illi yintahjou halmonafi9 7afid alfiransiyin slim ilkadheb w bkolkom ta3rfou 3lah lo9iba bilkadheb willi maya3rifich i9oli taw njawbou,0
rajaaaaaaaaaaaa33333 kais yaccoubi entraineur,0
raja3 montassar louhichi w ye5dém 3lé rou7ou testanech l juin bech traj3ou w b9odret rabi léfri9i tarja3 mazel coupe mafétna chéy,1
si slim salem bellahi chnow hkayett stade tunisie ma akremi est ce que cest vrai ou no,0
jit min3and fristo ckoun kifi like,1
oussama abaeid hhhhhhhhhhh real 3amla x,0
rabi y0,0
intidabet rahi behret,0
hamza ca,0
ija privé c importt,0
raji3 mountasar lou7ichi,0
dbarna assel,0
slim thabthabet,0
si normal,0
fil la3chiya may9al9ouch za3ma,0
raje3 djabo ye si slim,0
taw jat akbar anou nahda ihtalit 65 nas kol intakbit nahda fi karij yaka mat3almouch mili 3amlato wakt chado hokm yaka shiha lahkaya wfi dakil tounis fama achkas min nahda ydoro 3la diyar wya3tiw fi flos li nas wyakdo fi nwamir bitakat ta3rif bech yintakbo houma fi bok3it nas li nahda wgalou mahda hiya ili bech tirbah lintikabét jawbouni shïha lahkaya,1
rani mechit ĺe ejazar we hazit me3aya chekra 7oria w9otlou a3tini 2kg le7em 9ali arje3 essoug ejay,1
samahni ama ana mafhemtech maw9ofkom meli sar fi masr,1
interview politique dr moncef marzouki,0
nchallah ya3ti el,0
sayidi araiis atasma3ou al a7rara 7eena yasaaloun amarateyni a chouhadaou yo9taloun atfalouna fi leili ba3dou ya7loumoun man yon9ethou al a7lama 7eena yan3assoun,0
sallefni malyoun yar7em bouk,0
raja3 lou7ichi,0
la kawfa alaihi,0
wa9tesh mrawah,0
impossible bel7a9 ma tla3tech 3la da2iret nabel 2,1
raja3 monta,0
wa9tech bech yedimari maktab iti7ad elwatani fi el7amma,1
hhhhhhhjjhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhjhhhhhhhhhhhhhhhhhhhhjjhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhggghvhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh wouh,0
wa9teh enadwa,0
rabi nemer,0
hhhhhhhhhh jade 3alikom,0
lazemna talvza,0
waktech edfina,1
y a 1 an jt en tunisie,0
rami ahmed hamza ahwka lhotile li93adna 9odemo ba7tha lcar,0
oussama bennani,0
jamila heddi hhhhhhhhh,0
like ken sma3tha fi live 5anchour,0
intidbat raw ilwa9t yijri,0
raji3 montasar,0
sala7 lidara jibelna ness t7ebb ta5dam fe ca wet5af 3la jam3iya,0
slim ria7i 7atet j aime hhhhh,0
idk tahkylna aalech,1
rajja3 bassem el mehri weld jam3iyya w ighir 3ljha,0
m3a ey wa7ad men ekip,0
refrain x2,0
jadded tijeni bel3aidddddd,0
wa9teh l émission,0
mazem men 5edma 3ala janeb communication,0
raja3 montasar,0
compte netflix gratuit eli 7achto yeji prive,0
salem si slim ana marwen 27ans n7eb ca win7ib nkoun m3akoim win3awen jam3itti ana ma3andich flous ama najem n3awen,1
bilahii a3mlouli subscribe,0
silm riaha a une fortune de 7000 milliards c vrai sa,0
hhhhh wa7id ma3adich,0
rabi yehdina,0
n3ishou lil dima lil,0
video ancien,0
fadhel abdelkafi par exemple,0
hhhhhhhhh barcha,0
rajoulnaaaaaaaaa emel karboul,0
hichamino casillas,0
kol chay kateb zayed lhdit,0
islem a9ra ye slouma,0
hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh yekhi mazelet président btaa el ca enti hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh hhhhhhhhhhhhhh,0
waktech tahbet le8neya hedhi,1
source d information,0
hhh bde yhadher fehom men taw,0
hhhhhhhhhh pffffffff,0
la vedio 9dima bte3 match maroc hhhhh,0
sayed erra2is sala7iyètik tesma7lik bech ta3mil moukalmèt hatifiya,1
sallekha m3a saif l islem,0
wa9teh yo5rej titer heda,0
wakteh yahbite el film heda,0
raja 3montasar tawa c a tarka7,0
rajelon k elf wa elfn k of,0
raja haj mansour,0
immobilieres appartement max 2 av1439 sidi mahersi,0
louled l mouch 3amil abonè ya3mil 5anwaslouh lil 1m,0
jded l tijeni y rais,0
oussama abaeid w real 3amla x hhhh,0
ksar hlel 1 bellahi tnajmou terbou7ou entouniya eriyathia,0
9osito lbareh ana,0
rais psg maw houwa 3andou bein sport aléch slim riahi 3ayatlou bach yit3ada fil bein hahahahahahah,0
slim rya7i 5tha wa9tou wi ca hiya ili 3amla mziya 3a riya7i et dc winchlh il amira trawa7 alila,1
ija 8ani fi nice franca bilahi,0
y5i migalo moch wala fi etsi3a,0
wadiaâ touhemi a9raa,0
il faut liberer nos freres il faut liberer nos freres,0
hassen zack hhhhh,0
ihab mnine 5thit ilma3loma,0
hhhh 3malti kifi,1
rahali borheneddine ana m3a ha jebha winti wa9tech tendham,1
salam wa rahmatou allah,0
waçte rob3 nihe2i,0
wa9tech lyoum,1
il mbata fil hotel gratuit,0
maya lksouri kol klma tjbd nhtha thahrrrrra hhhhhhh,0
hhh wajdi jeridi ahaika l kongo,0
un petit clin d oeil a la section natation svp,0
mchit el chaine okhra,0
li y7eb yefhem kufech yab3athlii msg w nfasarlouu,1
wa9tah najmo na3rfo lintidabat kol,0
lbeji mizel i3ich,0
slim riahi ili hajatna bih njiboh manhiboche elmozayda na5tho mla3bi bakthar min somo,0
chnwa 9al,0
sahfa tounsa amla bina nhbo narfo kol akbar wbel kosos elhound,0
salam bjah rabbi enti si moncef wala chkoun admin,0
wa9tech i3ada svp,1
hamma w slim,0
raja3 el whichi wel 3elmi c tou,0
slimna rja3 wslimkom tifja3,0
raje3lna wled jam3iya,0
rajja3 lebib ou il kanalou 9bal me temchi merci,0
nhebou makar lel ettihad alwatani el hor fe ezzahra,0
wa9tech w win bech tet3adda,1
korbi doit rester mr slim,0
louled j aime svp et merci,0
hia wala,0
slm ça ca,0
jabo elbaratli 3li el3abdi mathabina ya slim oihid kif alax oi mohajim bahi oi jouar de lax,1
ichabah maryoul hand la9dim,0
chkonhi el tofla ze5i sa7ebt ala,0
raouf ayari hhhhhhhhhh kén 3amlouha fel parc w 3aytou lewléd el 7ouma khir 570 ya bougalb d,0
salut les amis ana 9rit presque 2 mois l teli billi y msekni idha ken yal3ib contre seraleon aller w retour ywali la3ib 10 match intr w eljem3a 3andha elha9 fi 450 maliyoun fi transfert mte3ou ya3ni fama mouamra bin taraji w eljem3a,0
pub pub importante,0
rajehi mazo attaquant w mahouch 9 wel bol3abi défenseur kol wa7ed fi poste ma famma 7atta choix fi tounes kan howa puisque el iffa bech yo5rejj de plus mahouch 5ayebb twiil w yathreb bel rass ki njibou attaqaunt ya njibou joueur kbiir wala méch lezem mazouu hethaa 3omrii la sma3t biih 7atta fi russia ma ykawarch w rziine barcha w 3affat,1
jaded l,0
slouma faméch 5 malayén hata slaf,1
idris saiidi attqnt algerien ekawwer fi france afdhal intideb tnajem ta3emlo,0
hatem becher,1
taw bach tidmada tsawit m3a ennahdha za3ma,0
raditna kil baklawa,0
lyoum 9al f tounes nal3ab ken m3a ca,0
salut jitik mi baid mathizich aliya tel 99420280,0
houssem bedissa,0
refroidi dawla,0
a3mlouli abonné 3ala chaine te3i,0
sala77777777 si lmoncef mais ltawa la kalamtni nestanna fi rdv 96321374,0
rakez chway 3la ljanoub w lwasat,0
wafin natija,0
slim raihi far5 chkoun yeta7an taya7tena 9daroa,0
hhh messi ou pirlou ou niassta mta3e ca,0
raja3 louhichi,0
rakcha m3a ben ali hhhhh,0
slim n7eb neselek labes,0
azi feat ala nafsha,0
korsi wahed otehki ha bou,0
m3a wa9tech yebda,1
jami3ia 5altiha thi7ka beibiegt twelha hand,0
sakrou el bernamij,0
raja3 montsar,0
rajja3 sinon,0
il faut penser a changer la mentalite d abord,0
hh chouf chkoun,0
please marzouki what do you do with emta3 9atar about sa5er el matri elkaleb do you ask him or not yet,1
wa9teh ilmatch,0
hey w mba3ed,0
nist5ayelha chada baco rayeb,0
hassen soltani,0
says rays brabi 3ndna mnt9a mohmcha barch tab3a wilyt mahdia issma hkaima ta3mlo mzya tarj3olha bnadhar,0
sakit waled haram,0
idhghat 3ala zer ya5tafi echa3b,1
houkouma o,0
rajel eli 7lef w 7at yamin 3ala kteb 9or2en manetsawerech ikhon el 3ahed,1
win hadhi,1
hhhhhhhhhhh awelhem slin riahi hhhhhhhhhh,0
sehla barcha elli ybell il marioul ykawwer,0
ltaw hna ya dali,0
samba bech eji el tounis fil ayem el 9adma ou mat5afouch samba 9adim samba jey samba men lounis lel club african loòoól,1
masmhomech tayar salafi hakom moslmine w3rab wetwensa kifna ama elli yeznew wyeskrou wfasdine hakom etwensa welli normal 3andna mayetlamouch zayed cha3eb w7oukouma ta7an usa,1
yekhi fech yaamlou ka djej w el aalelech fassrouli brabi,1
slim tawa enti sraft sraft kamel 5outhelna kemkach5a bjouwaratha bjomhoura ou kamel m3ahom aka la7laybi 5alih ytayeblek 9ahwet sba7 bras omek echrehom slim,1
sayedi rayiss billahi ech ma3naha hak el 9awlla mta3ik 3ala couverture mur mta3ik sava maho lebess sayedi rayiss,1
ched warda,0
lé 7awla wala 9owa ella belleh,0
hassen hakimi,0
clip maset oui non,0
hatta ana 9assitou béch ya9wa,0
invi si slim svp,0
chkon sme3ha fi live azizos chafcha,0
slim ynajem yjib10 boughanmi wchwiref ca akbar menhom,0
htten w hattene bratli,0
raja mina almasolin tada5ol fi ahad itha3at oi taothih maoitho3e samba sow jamahir efriki torid alhakika oiktach yosil ltonis,0
hichem marnaoui,0
slim ilbas,0
layae ma7kamet el3adl eddouwaliya 7okmet lisala7 slim riahi,0
hhhhhhh banque zitouna,0
wa9teh i3awdouh,0
hhhhhhhhhhhhhhhhhhh echnouwa hada,1
svp le num de cpr,0
kolloukom ra in wa kollou rain mas oulon an rayatihi,0
si monsef 3andék ésala7iyya bch t haniina bél 3iid wala lé,0
salut bellahi jaime et merci,0
hamza abidi,0
rakia sliman,0
slm svp nheb na3ref e mou2tamar eli 3amlou c moncef fi gabes wa9tech,1
nhibbou nefhmou hkeyet loujayen alah yarhemha weklem nesma shih ou non,0
hhhhhhhhhh m9athom,0
regarde plus derriere,0
kol elwou3oud,0
sanba wila 3abd ken ma irach mani3 jawib,0
hesin gandoura,0
waktech match brabi goudwa,1
canon g7x blhyyy win ybi3o fiha,1
gadhoum hahia,0
raki7 ijam3iya chofimhpm chahriyathom,0
kn fama 7aja offeciel taw yhbtha kn mafamh,0
raja3 salifou w 5arej 9oub3a wel khlifi w jaded lel ya3koubi,0
labes badge o o,0
ken bel7a9 sûr mel 7a9aye9 elli sajjaltha 3addiha l épisode moch hethi la liberté du média elli 9amet 3leha thawra,1
sallefni miliar hhhhh,0
raiss 3ala rouhe,0
elmoufid bech yet3ada w ela le,1
hh da7lan ala el khatt,0
nchlh mondher kbaier x,0
rawwa7t mén libya,0
9bal l malyoun,0
kifeh ne7iii vu,1
raja montasr w jdid ledjabou mta3bi kbir,0
hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh slim kadefi,0
chnoua esmou bhar hedha,1
invit moi si slim 7achti bik très urgent,0
hhhhhhh hamla intikhbeya,0
si slim il 19 w 8 chour yod5ol derby,0
hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0
slim shih elwakt ma3dech ykfi gbal elmatch mais netmna elyoum eljourette ylbsou mrawel 3lih tektbou ila rassoul allah wala fedak ya rassoul allah ti ya sidi hata lafta kbira you5rjou biha jourette men elvestyarette inchaalah youssel elmissage,1
wach 9al,0
kol men ymess slouma wala ca bissouuuuue rahou aeich fy les zigouuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,0
saybou wled jam3iya lyouma 9bal 8odwa la 8odwa 9bal ba3d 8odwa 3la 5ater jomhour mahouch mech yosket nhart thleth fi rades,1
nhib nifhim ma3neha welew 3na 2 kanawet bism tounsia elmelkia al aslia lichkoun,0
si slim barbi chouf ce lien,0
slim ryehy,0
pivo pivo pivo pivo pivo pivo pivo africain demi demi demi african svp,0
lef 3la ro7k si slim,0
salam sayed ra2is chna7wal il pins,0
ky touns lel kol bjeh rabi rani n7eb nod5el ne5dem fel 7aras el watani,0
read more samba sow n ira finalement en tunisie,0
jamel3arfewi welalybi,0
wa9tech na3mlou 9ahwa,1
men wa9tech yihliim nidhaal fahmouunaa,1
ilhader ya3mel jaim,0
slmm raja3 montassar wel 3elmiii y slim,0
slim tawa w9ayet bech thabet 3la mfach5in sa39a o5ra kima elkaf ili klouh tawa bech yetrabou w ma3adech yala3bou m3a syadhom clubistia,1
men 7ay tadhamen,0
slim ria7i 1994 wenek,0
sardina tire,0
aa ok,0
ila kol clubistia,0
rais jsk ba3ina alya3kobi 450 malyon ou zoz mla3bia,0
la 3inbali bi seyasa,0
rakliya bou rasba,0
hand baskette et volley,0
winou l mray7i,1
salamli 3la benourr,0
raja3 montasar louhichi,0
hhhhhhhhhhhhhhhhhhhhhhhhhhh med ali zaghdoudi,0
rani en7b enwali em3a el7zeb kifach,1
sbeh el5ir si slim bellahi wath7elna recrutement mta3 zouhair dhaouadi shih wala ghalet avec les details stp,0
il faut que la chaine ettounissia deviendra ca tv,0
jami3at hamdi elmadab oi tarajit tataimar 3alyna ahna 3amlin istinaf bache nraj3o nikat ykomo ynahona mathe rabhino 2 1 lazim maoikif hazim milhaya hathi kartha,1
hamza yaakoubi,0
m3a 3arfihi hammadi ejbeli,0
raj3ellna w,0
slm_akm si slim c h c h im3ak me itkafech oh lifriki lifriiki lifriiiki hede idallil a3leh famme jouer mohtaref bi 100 000 000 dt icherek fi boutoulet tounes we kes tounes we boutoulet we kes ifrikyaal we andiya sobhom fi ahsebbi we dour 3ale aljam3iyet we hez le jouer hedeke houwa elli me icharek we ide me charekchi fi 5ans iraja3lek iflousek,1
slm slm,0
salah jam3iya ta3mil akbar mziya,0
il y eu de rien faire voila une chose a vs accorder,0
rahom walfo dima yheboha kif el mordhe3 alah m3aek,1
hasni wadhah melki bilel,0
sayes 3la bekeya hhhhhh,0
zahrouni 7ay 3mara 7oumani,0
je m appelle fersi mounir,0
jaded l tijeni bel3id,0
lellahi ma a3ta wa lellahi ma akhadha inna lellahi wa enna lallahi raji3oun allah yarhmou w yorzok ahlou assaber al jamil,0
lyouma lundi w masar chy,0
nhibo jam3ia thiz botolat efrikia hasra kabira an tara 3adoik yal3ab oi yantasir mta tanhath ya ifriki oitfarh jomhorak nchala nasar karab man 3inina,0
inti kolek morterek,0
pub olibya,0
tozgarrr d,0
hr ouz,0
wakteh t hebni nékhdem wen3arress,0
win wsilt fil régime,1
jayya enty5abet jdida,0
sbe7 enour chbina nchedou mansaybou si slim 9al sakarna el mercato wentouma jibelna wa3mlelna tawa netlhaw b7ajet ma aham whia eta7dhira yelzem zeda ya si slim ta3mel kif ma3emlet el ahly el masri na3mlou 5abir e9tisadi yetlha bomour el madia whehdi el kolha masl7a lina rahou et akber mzia tenu ejam3ia wlh i9azaz hadheka tenu wt7eb t8ayer ejam3ia wne9dhou 3la athar el madhi awel 7aja yelzemna marque behia adidas wela nike wela narj3ou kima kona diadora et merci ya slouma,1
rajel emkaheb 3ala 90 fech echa3eb yestana meno,1
pas moi,0
hhhhhhh zantor y zantor cab al ajdare l playoffs hhhh,0
wayank kalmuni,0
rabj te,0
salemmmmmm admin nheb nkabel si slim riahi urgent,0
taybou ezrir,0
men 9bila tbadel fel photo ya5i ma3ejbetek 7ata wa7da,0
raji3 montasar w ji,0
chbi l8neya kent mouch mawjouda,0
wa9tech yji le sfax,1
trah slaf hata milliard ya m3alem nraja3halek do5an 3la snin,0
pq m3tch toi fi oki b3dou,0
slouma new look,0
jam3iya brabi,0
slim ye riye7i slim ye riye7i,0
izikal loich nsaybo fih,0
la 3acha fi tunis man 5anaha,0
la3bed 8aset w hiya tcho9 fy ftarha,0
l3a9a lel boutoula,0
rached ganouchi fhem eli eltanezel wel hiwar yokrej tunis ila bar elaman we hedha eli karjou bih min likae paris,0
rasmi lihlaybi fi ca kimat safk 900milm,0
